id,name,category,in_stock,reorder_level,unit,cost,type,expirationDate,inStock,reorderLevel,measurementUnit,measurementQty,openStock,lowStockThreshold,created_at,updated_at
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Coffee Beans,Ingredients,12500,2000,g,0.03,Perishable,,12500,2000,g,1000,12500,2000,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,Milk,Ingredients,320,80,L,0.8,Perishable,,320,80,L,1,320,80,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
cccccccc-cccc-cccc-cccc-cccccccccccc,Sugar,Ingredients,6000,1200,g,0.01,Perishable,,6000,1200,g,1000,6000,1200,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
dddddddd-dddd-dddd-dddd-dddddddddddd,Burger Patty,Ingredients,220,50,pcs,0.9,Perishable,,220,50,pcs,1,220,50,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,Burger Bun,Ingredients,260,60,pcs,0.25,Perishable,,260,60,pcs,1,260,60,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
ffffffff-ffff-ffff-ffff-ffffffffffff,Potatoes,Ingredients,18000,4000,g,0.005,Perishable,,18000,4000,g,1000,18000,4000,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
11112222-3333-4444-5555-666677778888,Chocolate,Ingredients,5500,1000,g,0.04,Perishable,,5500,1000,g,1000,5500,1000,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
99999999-8888-7777-6666-555544443333,Cream,Ingredients,120,30,L,1.25,Perishable,,120,30,L,1,120,30,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
22223333-4444-5555-6666-777788889999,Chicken Breast,Ingredients,120,20,pcs,1.75,Perishable,,120,20,pcs,1,120,20,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
33334444-5555-6666-7777-888899990000,Bread Slice,Ingredients,500,100,pcs,0.3,Perishable,,500,100,pcs,1,500,100,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
44445555-6666-7777-8888-999900001111,Lettuce,Ingredients,180,30,pcs,0.45,Perishable,,180,30,pcs,1,180,30,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
55556666-7777-8888-9999-000011112222,Tomato,Ingredients,260,50,pcs,0.2,Perishable,,260,50,pcs,1,260,50,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
66667777-8888-9999-0000-111122223333,Bacon,Ingredients,180,40,pcs,1.1,Perishable,,180,40,pcs,1,180,40,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
66667777-8888-9999-0000-444455556666,Egg,Ingredients,240,50,pcs,0.25,Perishable,,240,50,pcs,1,240,50,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
66667777-8888-9999-0000-777788889999,Tortilla,Ingredients,220,60,pcs,0.15,Perishable,,220,60,pcs,1,220,60,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
66667777-8888-9999-0000-aaaabbbbcccc,Onion,Ingredients,180,50,pcs,0.2,Perishable,,180,50,pcs,1,180,50,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
66667777-8888-9999-0000-ddddeeeeffff,Blueberries,Ingredients,3500,500,g,0.05,Perishable,,3500,500,g,1000,3500,500,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
66667777-8888-9999-0000-1111aaaa2222,Parmesan,Ingredients,1200,300,g,0.2,Perishable,,1200,300,g,1000,1200,300,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
66667777-8888-9999-0000-3333bbbb4444,Flour,Ingredients,8000,1500,g,0.01,Perishable,,8000,1500,g,1000,8000,1500,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z
66667777-8888-9999-0000-5555cccc6666,Tea Leaves,Ingredients,1000,200,g,0.02,Perishable,,1000,200,g,1000,1000,200,2026-03-30T11:47:03.851Z,2026-03-30T11:47:03.851Z